MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
I am a developer by profession,45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;Video-based Online Courses,API document(s) and/or SDK document(s);Traditional public search engine,42,17,"Developer, back-end",NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,Java;SQL,Java,Java,Elasticsearch;MySQL,NA,NA,NA,NA,NA,Spring Boot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IntelliJ IDEA,IntelliJ IDEA,IntelliJ IDEA,MacOS,MacOS,Confluence;Jira,NA,NA,Microsoft Teams;Slack,NA,NA,NA,NA,NA,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per week,Yes,A few times per month or weekly,Quickly finding code solutions;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques,"No, not really","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,18,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,NA,NA,NA,30-60 minutes a day,15-30 minutes a day,Amount of technical debt;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools,Hybrid (on-prem and cloud),Traditional public search engine,Government,0,0,0,12,5,3,0,80,0,Appropriate in length,Neither easy nor difficult,NA,1
I code primarily as a hobby,18-24 years old,"Student, full-time",NA,Apples,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Other (please specify):",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,10,NA,Student,NA,NA,NA,NA,NA,Germany,NA,NA,C;C++;Dart;Go;Haskell;Lua;Zig,C++;Dart;Go;Lua;Zig,C++;Dart;Go;Lua;Zig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Make;Ninja,Make;Ninja,Make;Ninja,Visual Studio Code,Visual Studio Code,Visual Studio Code,Ubuntu,,GitHub Discussions;Markdown File;Wikis,GitHub Discussions;Markdown File,GitHub Discussions;Markdown File,Discord;IRC;Matrix,Discord;IRC;Matrix,Discord;IRC;Matrix,NA,NA,NA,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast;Overflow API,Daily or almost daily,Yes,A few times per week,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too long,Neither easy nor difficult,NA,NA
I am a developer by profession,45-54 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;Video-based Online Courses;Written-based Online Courses;Certification videos,API document(s) and/or SDK document(s);First-party knowledge base;Traditional public search engine,32,27,Cloud infrastructure engineer,NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,Bash/Shell (all shells);Go;Python;SQL,Bash/Shell (all shells);Go;Python;SQL,Bash/Shell (all shells);Go;Python;SQL,BigQuery;Cloud Firestore,BigQuery;Cloud Firestore,BigQuery;Cloud Firestore,Google Cloud,Google Cloud,Google Cloud,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terraform,Terraform,Terraform,Goland;Sublime Text;Vim,Goland;Sublime Text;Vim,Goland;Sublime Text;Vim,MacOS,MacOS,Jira,GitHub Discussions;Jira,Jira,Google Meet;Microsoft Teams;Slack,Microsoft Teams;Slack,Microsoft Teams;Slack,NA,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,Neutral,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
"I used to be a developer by profession, but no longer am",35-44 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects;Freelance/contract work,"Associate degree (A.A., A.S., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Friend or family member","Technical documentation;Written Tutorials;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,16,NA,Engineering manager,NA,NA,NA,NA,NA,United States of America,NA,NA,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,Assembly;Bash/Shell (all shells);C#;Go;HTML/CSS;MicroPython;PHP;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;PHP;SQL,MariaDB;MySQL;PostgreSQL;Redis;SQLite,BigQuery;MariaDB;MySQL;PostgreSQL;Redis;SQLite,MariaDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;OpenStack,Amazon Web Services (AWS);Google Cloud,Laravel;Nuxt.js;Vue.js,Flask;Laravel;Nuxt.js;React;Ruby on Rails;Vue.js,Laravel;Nuxt.js;Vue.js,Arduino;Rasberry Pi,Arduino;GNU GCC;Rasberry Pi,Arduino;Rasberry Pi,NA,NA,NA,Composer;Docker;Homebrew;npm;Pip;Terraform,Ant;Composer;Docker;Godot;Homebrew;Terraform;Unity 3D;Webpack,Composer;Docker;Homebrew;Terraform,PhpStorm,DataGrip;PhpStorm;PyCharm,PhpStorm,MacOS,MacOS,Clickup;Confluence,GitHub Discussions;Linear;Obsidian;Stack Overflow for Teams,NA,Google Meet;Slack,Slack,Slack,NA,NA,NA,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,Neutral,Yes,Indifferent,Increase productivity,Somewhat trust,Bad at handling complex tasks,,Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Deployment and monitoring,Committing and reviewing code;Predictive analytics;Search for answers;Generating content or synthetic data,NA,NA,NA,NA,NA,No,NA,Don’t trust the output or answers;We don’t have the right policies in place to reduce security risks,Yes,People manager,16,Agree,Strongly agree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,1-2 times a week,3-5 times a week,3-5 times a week,30-60 minutes a day,60-120 minutes a day,Amount of technical debt;Tracking my work;Showing my contributions,DevOps function;Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Retail and Consumer Services,20,0,10,40,20,5,5,0,0,Appropriate in length,Easy,NA,8
I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification;Coding Bootcamp",Technical documentation;Stack Overflow;Coding sessions (live or recorded);Social Media,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine;AI-powered search/dev tool (free),10,10,"Developer, front-end",NA,NA,NA,NA,NA,India,NA,NA,JavaScript;Solidity;TypeScript,JavaScript;Solidity;TypeScript,JavaScript;Solidity;TypeScript,Cloud Firestore;Microsoft SQL Server;MongoDB;MySQL;SQLite,Cloud Firestore;Microsoft SQL Server;MongoDB;MySQL;SQLite,Cloud Firestore;Microsoft SQL Server;MongoDB;MySQL;SQLite,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;Express;Gatsby;NestJS;Next.js;Node.js;React;Spring Boot,Angular;AngularJS;ASP.NET;ASP.NET CORE;Express;Gatsby;NestJS;Next.js;Node.js;React;Spring Boot,Angular;AngularJS;ASP.NET;ASP.NET CORE;Express;Gatsby;NestJS;Next.js;Node.js;React;Spring Boot,NA,NA,NA,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Pandas;RabbitMQ;React Native,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Pandas;RabbitMQ;React Native,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Pandas;RabbitMQ;React Native,Visual Studio Solution,Visual Studio Solution,Visual Studio Solution,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio;Visual Studio Code,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio;Visual Studio Code,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio;Visual Studio Code,Windows,Windows,Jira,Jira,Jira,Cisco Webex Teams;Google Meet;Microsoft Teams;Skype;Slack;Whatsapp;Zoom,Cisco Webex Teams;Google Meet;Microsoft Teams;Skype;Slack;Whatsapp;Zoom,Cisco Webex Teams;Google Meet;Microsoft Teams;Skype;Slack;Whatsapp;Zoom,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Multiple times per day,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, definitely",Yes,Indifferent,Increase productivity;Greater efficiency;Improve collaboration;Speed up learning;Make workload more manageable,Neither trust nor distrust,"Good, but not great at handling complex tasks",Learning about a codebase;Project planning;Writing code;Documenting code;Testing code;Deployment and monitoring;Search for answers,Debugging and getting help;Committing and reviewing code;Predictive analytics;Generating content or synthetic data,,Learning about a codebase;Project planning;Writing code;Documenting code;Testing code;Search for answers,,Deployment and monitoring,,,No,Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;Not everyone uses them;They create more work (more code/PRs to review, etc.)",Yes,Individual contributor,10,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Never,Never,Never,Over 120 minutes a day,Over 120 minutes a day,Amount of technical debt;Number of software tools in use;Tracking my work;Showing my contributions;Complexity of tech stack for deployment;Complexity of tech stack for build;Maintaining security of code being produced;Maintaining security of systems/platforms used in work;Reliability of tools/systems used in work,DevOps function;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),Traditional public search engine,Manufacturing,10,14,12,13,14,2,4,5,26,Too long,Difficult,NA,10
I am a developer by profession,55-64 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Social Media,API document(s) and/or SDK document(s);Traditional public search engine,45,33,"Developer, full-stack",NA,NA,NA,NA,NA,France,NA,NA,C;C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),C;C#;C++;HTML/CSS;JavaScript;PowerShell;Python;TypeScript;Visual Basic (.Net),C;C#;C++;HTML/CSS;JavaScript;PowerShell;Python;TypeScript;Visual Basic (.Net),Microsoft SQL Server;SQLite,Microsoft SQL Server;SQLite,Microsoft SQL Server;SQLite,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,ASP.NET CORE;Blazor;Node.js,ASP.NET CORE;Blazor;Node.js,ASP.NET CORE;Blazor;Node.js,NA,NA,NA,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;DirectX,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;DirectX;Electron;Flutter,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;DirectX,Docker;MSBuild;Ninja;npm;NuGet;Pip;Visual Studio Solution,Docker;MSBuild;npm;NuGet;Unity 3D;Unreal Engine;Visual Studio Solution,Docker;MSBuild;npm;NuGet;Visual Studio Solution,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code;Xcode,Notepad++;Visual Studio;Visual Studio Code,Ubuntu;Windows;Windows Subsystem for Linux (WSL),Android;iOS;MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Azure Devops,Azure Devops;Stack Overflow for Teams,Azure Devops,Discord;Google Meet;Microsoft Teams;Whatsapp;Zoom,Discord;Microsoft Teams;Whatsapp,Discord;Microsoft Teams;Whatsapp,ChatGPT,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,35,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,1-2 times a week,1-2 times a week,Never,15-30 minutes a day,15-30 minutes a day,Amount of technical debt;Reliability of tools/systems used in work,DevOps function;Innersource initiative,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,10,10,0,5,30,40,0,5,0,Appropriate in length,Easy,NA,8
I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Written-based Online Courses,API document(s) and/or SDK document(s);User guides or README files found in the source repository,37,17,"Developer, mobile",2 to 9 employees,I have some influence,Start a free trial,Is set up to be customized and needs to be engineered into a usable product,APIs;Integrated developer community;Reputation for quality and excellence;Connected to an open source project,France,EUR European Euro,NA,Bash/Shell (all shells);Go;Java;JavaScript;Kotlin;Objective-C;Python;Swift,NA,NA,MariaDB;MongoDB;Redis,NA,NA,Amazon Web Services (AWS),NA,NA,Next.js;Node.js;React,NA,NA,NA,NA,NA,NA,NA,NA,Docker;Gradle;Homebrew;npm,NA,NA,Android Studio;IntelliJ IDEA;Xcode,NA,NA,MacOS,,NA,NA,NA,Slack,NA,NA,ChatGPT;GitHub Copilot,NA,NA,Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions,"No, not at all",Yes,Favorable,Speed up learning,Somewhat distrust,Very poor at handling complex tasks,Learning about a codebase;Writing code;Debugging and getting help;Testing code;Committing and reviewing code,Documenting code,Project planning;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,,,Learning about a codebase;Writing code;Debugging and getting help;Testing code;Committing and reviewing code,,,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Imitating a person's likeness,Don’t trust the output or answers;Not everyone uses them,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too long,Neither easy nor difficult,NA,NA
I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Stack Overflow;Social Media;How-to videos;AI,NA,15,13,"Developer, back-end",NA,NA,NA,NA,NA,Belgium,NA,NA,Bash/Shell (all shells);Groovy;Java;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);Go;Groovy;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Bash/Shell (all shells);Groovy;Java;JavaScript;Python;SQL;TypeScript,Dynamodb;Elasticsearch;MySQL,Dynamodb;Elasticsearch;MySQL,Dynamodb;Elasticsearch;MySQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Web Services (AWS),Spring Boot,Spring Boot,Spring Boot,NA,NA,NA,Spring Framework,Spring Framework,Spring Framework,Docker;Maven (build tool),Docker;Maven (build tool),Docker;Maven (build tool),Fleet;IntelliJ IDEA;Visual Studio Code,Fleet;IntelliJ IDEA;Visual Studio Code,Fleet;IntelliJ IDEA;Visual Studio Code,Windows,MacOS,Confluence;Jira;Miro;Monday.com,Confluence;Jira;Miro;Monday.com,Confluence;Jira;Miro;Monday.com,Google Meet;Slack;Zoom,Slack;Zoom,Slack;Zoom,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"Yes, somewhat",Yes,Favorable,Greater efficiency;Speed up learning,Somewhat trust,Neither good or bad at handling complex tasks,Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers,Learning about a codebase;Committing and reviewing code,Project planning,,Debugging and getting help;Testing code;Search for answers,Writing code;Documenting code,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too long,Neither easy nor difficult,NA,NA
I code primarily as a hobby,Under 18 years old,"Student, full-time",NA,Apples,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum, online community)",Stack Overflow;Certification videos;Other (Please specify):,NA,1,NA,Student,NA,NA,NA,NA,NA,United States of America,NA,NA,C#;HTML/CSS;JavaScript;Lua;Python,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Visual Studio;Visual Studio Code,NA,NA,ChromeOS;Windows,,NA,NA,NA,NA,NA,NA,ChatGPT;Google Gemini,NA,NA,Stack Overflow,Daily or almost daily,Yes,A few times per month or weekly,Quickly finding code solutions;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques,"Yes, somewhat",Yes,Unsure,Increase productivity;Greater efficiency,Neither trust nor distrust,Bad at handling complex tasks,Writing code;Debugging and getting help;Search for answers,,Learning about a codebase;Project planning;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data;Other (please specify):,,Writing code;Debugging and getting help;Search for answers,,,,I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA,NA
I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Apples,Hobby;School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification","Stack Overflow;Video-based Online Courses;AI;Online challenges (e.g., daily or weekly coding challenges)",NA,19,15,"Developer, embedded applications or devices",NA,NA,NA,NA,NA,United States of America,NA,NA,C;C#;C++;Dart;HTML/CSS;JavaScript;Lua;MATLAB;PowerShell;Python;TypeScript,Rust;Zephyr,NA,NA,NA,NA,Amazon Web Services (AWS),NA,NA,Node.js;React,NA,NA,CMake;cppunit;GNU GCC;Rasberry Pi,Ninja,NA,.NET (5+) ;Electron;Flutter;NumPy;Opencv;Pandas;Qt;React Native;Scikit-Learn,CUDA;Keras;TensorFlow;Torch/PyTorch,NA,APT;Docker;Homebrew;Make;npm;Pip,Kubernetes;Unreal Engine,NA,Jupyter Notebook/JupyterLab;Qt Creator;Vim;Visual Studio Code,NA,NA,Debian;MacOS;Other Linux-based;Ubuntu,,Asana;Clickup;Jira;Lucid;Markdown File,NA,NA,Microsoft Teams;Slack,NA,NA,ChatGPT;GitHub Copilot;WolframAlpha;Visual Studio Intellicode,NA,NA,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,Neutral,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,Very well at handling complex tasks,Learning about a codebase;Writing code;Debugging and getting help;Search for answers,Project planning;Documenting code;Testing code;Deployment and monitoring;Predictive analytics,Committing and reviewing code;Generating content or synthetic data,,,Learning about a codebase;Writing code;Debugging and getting help;Search for answers,,,No,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools",Yes,Individual contributor,15,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Agree,Never,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Amount of technical debt;Number of software tools in use;Showing my contributions;Reliability of tools/systems used in work,None of these,Hybrid (on-prem and cloud),AI-powered search (free),Government,20,0,0,10,30,20,20,0,0,Too short,Easy,NA,6
I am a developer by profession,45-54 years old,"Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)","Technical documentation;Books;Stack Overflow;Social Media;How-to videos;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,36,27,"Developer, full-stack",NA,NA,NA,NA,NA,Romania,NA,NA,C;C++;HTML/CSS;Java;JavaScript;Perl;PHP;Python;R;Ruby;SQL,C++;Clojure;Haskell;HTML/CSS;JavaScript;Lisp;Objective-C;Prolog;Python;Ruby;SQL;Swift,C++;HTML/CSS;JavaScript;Python;Ruby;SQL,Elasticsearch;MariaDB;MySQL;Oracle;PostgreSQL;Redis;Solr;SQLite,MySQL;PostgreSQL;Redis;SQLite,MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Colocation;Digital Ocean;Google Cloud;Heroku;Hetzner;Microsoft Azure,Amazon Web Services (AWS);Heroku,Amazon Web Services (AWS);Heroku,Flask;jQuery;Ruby on Rails,Ruby on Rails,Ruby on Rails,Arduino;Rasberry Pi,Arduino;Rasberry Pi,Arduino;Rasberry Pi,NA,NA,NA,Docker;Homebrew;npm;Pip;Yarn,Docker;Homebrew;Pip;Yarn,Docker;Homebrew;Pip;Yarn,Vim;Visual Studio Code,Jupyter Notebook/JupyterLab;Vim;Visual Studio Code;Xcode,Vim;Visual Studio Code,MacOS;Windows;Windows Subsystem for Linux (WSL),MacOS;Windows;Windows Subsystem for Linux (WSL),GitHub Discussions;Obsidian,GitHub Discussions;Obsidian,GitHub Discussions;Obsidian,Google Meet;Microsoft Teams;Signal;Skype;Zoom,Google Meet;Microsoft Teams;Signal;Skype,Google Meet;Microsoft Teams;Signal;Skype,ChatGPT;GitHub Copilot;Google Gemini;WolframAlpha,ChatGPT;Claude;GitHub Copilot;Google Gemini;WolframAlpha,ChatGPT;GitHub Copilot;Google Gemini;WolframAlpha,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Daily or almost daily,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely",Yes,Favorable,Increase productivity;Speed up learning,Neither trust nor distrust,Bad at handling complex tasks,Writing code;Documenting code;Testing code,Learning about a codebase;Project planning;Debugging and getting help;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,,,,Writing code;Documenting code;Testing code,,,Yes,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Imitating a person's likeness;Energy demand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
